#,I confirm that I have read and fully understand the purpose and nature of the study and agree to participate in it.,What is your gender? ,Age,residency,Educational level ,marital status,What is your source of information about osteoarthritis?,Do you know someone diagnosed with osteoarthritis? ,Do you think that knee osteoarthritis is a chronic problem? ,Do you think that knee osteoarthritis is rare? ,Do you think that all types of joints may suffer from osteoarthritis? ,Do you think that knee osteoarthritis is the result of a cold or moist atmosphere? ,What do you think is the underlying mechanism of osteoarthritis? You can choose more than one option,Do you think that genetics is a risk factor for osteoarthritis?,Do you think that advancing age is a risk factor for osteoarthritis?,Do you think that high BMI is a risk factor for knee osteoarthritis? ,Do you think that the incidence of knee osteoarthritis is equal between males and females?,Do you think that being active makes osteoarthritis feel better? ,Do you think that previous knee injury is a risk factor for osteoarthritis? ,Do you think that pain is the only symptom of knee osteoarthritis?,Do you think joint stiffness is a sign of knee osteoarthritis?,Do you think knee redness is a sign of knee osteoarthritis? ,Do you think locking of the knee is a sign of knee osteoarthritis?,Do you think increased joint warmth is a sign of knee osteoarthritis? ,Do you think that osteoarthritis may lead to loss of joint movement?,Do you think weakness of the muscle is a sign of knee osteoarthritis? ,Do you think numbness is a sign of knee osteoarthritis?,Do you think that analgesics may improve symptoms?,Do you think that hot or cold packs to the knee may improve symptoms? ,"Do you think that some types of exercises, such as swimming, are suitable for osteoarthritis patients?",Do you think that physiotherapy can improve the symptoms of osteoarthritis? ,Do you think that steroid injections in the joint help to relieve severe symptoms temporarily? ,Do you think that joint replacement surgery will be needed at some point for osteoarthritis? 
442,Yes,male,19,Nablus,university,single,others,Yes,Yes,no,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Not sure,Not sure,Not sure,no,Yes,Not sure,no,no,Yes,no,no,Yes,Yes,Not sure,Yes
443,Yes,female,23,Jenin ,university,single,study,no,Yes,no,no,no,"infection, decreased blood supply to the joint, crystal accumulation in the joint",no,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes
444,Yes,female,21,Jenin ,university,single,study,Yes,Not sure,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,no,no,Yes,Yes,no,Yes,no,Yes,no,Yes,no,Yes,Yes,Yes,no,no,no,Yes
445,Yes,male,50,Jenin ,university,Married,media,Yes,Yes,Yes,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Not sure,Yes,Not sure,Yes,Not sure,Not sure,no,no,no,Yes,Yes,Yes,Yes,Not sure,Yes
446,Yes,female,20,Jenin ,university,single,study,no,no,Yes,Not sure,Yes,"infection, decreased blood supply to the joint",no,Yes,Yes,no,Not sure,Not sure,Not sure,Not sure,no,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes
447,Yes,female,30,Jenin ,high school,single,others,Yes,Not sure,Yes,no,Yes,nerve compression near the joint ,no,Yes,Yes,Not sure,Not sure,Not sure,Yes,Yes,no,no,no,no,no,no,Yes,Yes,Not sure,no,Not sure,Yes
448,Yes,female,32,Jenin ,high school,Married,study,no,no,Yes,Yes,Yes,crystal accumulation in the joint,no,Yes,Yes,no,Yes,Yes,no,Yes,no,no,no,Yes,Yes,no,no,Yes,Yes,Yes,Yes,no
449,Yes,female,22,Jenin ,university,single,friends/relatives ,Yes,Not sure,no,Yes,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Not sure,Yes,Yes,no,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Not sure,Yes,Not sure
450,Yes,female,49,Jenin ,high school,Married,media,Yes,Yes,Yes,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,no,no,Not sure,Not sure,no,no,Yes,Yes,Not sure,no,no,no,Yes,Yes,no
451,Yes,female,26,Jenin ,university,Married,friends/relatives ,Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,no,no,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,no,no
452,Yes,male,20,Jenin ,primary school,single,friends/relatives ,Yes,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Not sure,Yes,Yes,no,Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes
453,Yes,male,65,Jenin ,university,Married,friends/relatives ,no,Not sure,Yes,Not sure,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,no,no,Not sure,Not sure,Not sure,Not sure
454,Yes,male,60,Jenin ,university,Married,others,no,Yes,no,Yes,no,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes
455,Yes,female,23,Jenin ,university,single,Personal history,Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,no,no,Yes,no,Yes,Not sure,no,Yes,Yes,Yes
456,Yes,female,23,Jenin ,university,single,study,no,Yes,Not sure,Yes,Yes,infection,Not sure,Yes,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Not sure,Yes,Yes,Yes,Yes
457,Yes,female,50,Jenin ,high school,Married,Personal history,Yes,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Not sure
458,Yes,male,56,Jenin ,university,Married,Personal history,Yes,Not sure,no,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,Not sure,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Not sure
459,Yes,male,56,Jenin ,high school,Married,media,Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,Not sure,no,Yes,no,Yes,Not sure,Yes,Yes
460,Yes,female,18,Jenin ,high school,single,study,no,Yes,no,no,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes
461,Yes,male,41,Jenin ,Postgraduate studies (Masters/PhD),Married,study,Yes,Yes,no,Yes,no,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
462,Yes,male,54,Jenin ,high school,Married,friends/relatives ,Yes,Yes,no,no,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,no,Yes,no,Yes,no,Yes,Yes,Yes,Yes,no
463,Yes,male,65,Jenin ,university,Married,friends/relatives ,Yes,Not sure,no,Yes,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Not sure,Yes,no,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,no,Not sure,Not sure,Yes,Yes,Yes
464,Yes,female,23,Jenin ,university,single,others,no,no,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Not sure,no,Yes,Yes,Yes,Yes,Yes,Yes
465,Yes,female,21,Jenin ,university,single,"friends/relatives , study, media",no,Yes,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,no,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Not sure,Not sure
466,Yes,male,18,Jerusalem,primary school,Married,Personal history,no,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
467,Yes,male,39,Jenin ,university,Married,others,no,Yes,Not sure,no,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Not sure,Yes,Not sure,Not sure
468,Yes,male,62,Jenin ,university,Married,friends/relatives ,Yes,Yes,no,Yes,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Not sure,no,Not sure,Yes,Not sure,no,Yes,Not sure,Yes,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Not sure
469,Yes,male,38,Jenin ,university,Married,study,no,Yes,no,Yes,no,"infection, decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
470,Yes,female,37,Jenin ,university,single,others,no,Yes,no,Yes,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,no,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Not sure
471,Yes,male,48,Jenin ,Postgraduate studies (Masters/PhD),Married,Personal history,no,Not sure,Not sure,Yes,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Yes,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
472,Yes,female,27,Jenin ,university,Married,friends/relatives ,Yes,Yes,Not sure,Not sure,Not sure,nerve compression near the joint ,no,Yes,Yes,no,Yes,Not sure,no,no,Yes,Not sure,no,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure
473,Yes,female,21,Jenin ,university,single,others,no,Yes,Not sure,Not sure,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Not sure,Not sure,Yes,Not sure,no,Not sure,Yes,Yes,Yes,Not sure,Not sure,Not sure,Yes,Yes,Yes,Yes,Not sure,Not sure
474,Yes,female,21,Jenin ,university,single,friends/relatives ,no,no,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,no,no,Yes,no,no,Yes,no,Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes
475,Yes,female,32,Jenin ,university,Married,friends/relatives ,no,no,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Yes,Yes,no,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
476,Yes,female,21,Jenin ,university,single,healthcare,no,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Not sure,Yes,Yes,no,Yes,Yes,no,no,Yes,no
477,Yes,female,20,Jenin ,university,single,friends/relatives ,Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Not sure,Not sure,no,Yes,Yes,no,Yes,Yes,Not sure,no,Yes,Yes,Yes,Not sure,Yes,Yes
478,Yes,female,21,Jenin ,university,Married,others,no,Yes,Not sure,Yes,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes
479,Yes,female,20,Jenin ,university,single,media,no,Yes,no,Yes,Not sure,nerve compression near the joint ,no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,no
480,Yes,female,22,Bethlehem ,university,single,"study, healthcare",no,Yes,no,Not sure,Not sure,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
481,Yes,female,45,Bethlehem ,university,Married,Personal history,no,no,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,Not sure,Yes,Not sure,no,Yes,Yes,Yes,Not sure,Yes
482,Yes,female,41,Bethlehem ,Postgraduate studies (Masters/PhD),Married,others,Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes
483,Yes,female,27,Bethlehem ,high school,Married,friends/relatives ,Yes,Yes,no,Not sure,no,"nerve compression near the joint , crystal accumulation in the joint",no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,no,no,Yes,Yes,no
484,Yes,male,43,Bethlehem ,university,Married,"friends/relatives , others",Yes,Not sure,no,no,no,nerve compression near the joint ,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Not sure,no,no,Yes,Yes,Yes,Yes
485,Yes,female,40,Bethlehem ,university,Married,friends/relatives ,Yes,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,no,no,Yes,Yes,Yes,Yes
486,Yes,female,33,Bethlehem ,university,single,friends/relatives ,Yes,Yes,Yes,Yes,Yes,nerve compression near the joint ,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure
487,Yes,female,60,Bethlehem ,university,Married,Personal history,Yes,Yes,no,Not sure,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,no,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,no,Yes
488,Yes,female,24,Bethlehem ,university,single,"Personal history, friends/relatives ",Yes,Yes,no,Not sure,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,no,no,Not sure,Not sure,Not sure,no,Yes,Yes,no,no,Yes,Yes,Yes,no,Not sure
489,Yes,female,23,Bethlehem ,university,single,"friends/relatives , study",Yes,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes
490,Yes,female,35,Bethlehem ,high school,Married,friends/relatives ,Yes,Yes,no,Yes,Yes,crystal accumulation in the joint,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
491,Yes,female,30,Bethlehem ,university,Married,study,Yes,Yes,no,Not sure,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Yes,Not sure,no,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,no,no,Yes,Yes,Yes,Yes
492,Yes,female,21,Bethlehem ,university,single,"Personal history, friends/relatives ",Yes,Yes,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,no,no,Yes,Yes,Yes,no,no,no,Yes,Yes,Yes
493,Yes,female,19,Bethlehem ,university,single,"Personal history, friends/relatives , study",no,Yes,no,no,no,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Yes,Not sure,no,Yes,Yes,Yes,Yes,no,Not sure,Not sure,no,no,Not sure,Yes,Not sure,Not sure
494,Yes,female,21,Bethlehem ,university,single,friends/relatives ,Yes,Yes,Yes,no,Yes,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time",Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,no,no,Yes,no,no,no,Yes,Not sure,Yes,Yes,no
495,Yes,female,38,Bethlehem ,university,Married,friends/relatives ,Yes,Yes,Not sure,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Not sure,Yes,Yes,Yes,Not sure,Not sure,Yes,Not sure,no,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
496,Yes,female,34,Bethlehem ,university,Married,media,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Not sure,Yes,Yes,Not sure,no,Yes,Yes,Yes,Not sure,Not sure
497,Yes,female,22,Bethlehem ,university,single,study,no,Yes,no,no,Yes,"infection, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes
498,Yes,female,36,Bethlehem ,university,Married,"friends/relatives , study",Yes,Yes,Yes,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,no,Not sure,Yes,Yes,Not sure,Yes
499,Yes,female,25,Bethlehem ,high school,Married,"friends/relatives , others",Yes,Yes,Not sure,Not sure,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Not sure,Yes,Yes,no,Not sure,no,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes
500,Yes,female,35,Bethlehem ,high school,Married,friends/relatives ,Yes,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Not sure,Yes,Yes,Yes,Yes,no,no,no,Yes,Yes,Not sure,Yes,Yes
501,Yes,male,21,Bethlehem ,university,single,friends/relatives ,Yes,Not sure,Not sure,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Not sure,Not sure,Yes,no,Yes,Yes,Yes,Not sure,no,no,no,no,Yes,Yes,Yes,Yes,Yes
502,Yes,female,25,Jerusalem,university,Married,study,no,no,no,Yes,Yes,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes
503,Yes,female,30,Bethlehem ,university,single,friends/relatives ,Yes,Yes,no,Not sure,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Not sure,no,no,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,no,Not sure,no,no,Not sure
504,Yes,female,23,Bethlehem ,university,Married,friends/relatives ,Yes,Yes,no,Yes,Not sure,nerve compression near the joint ,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes
506,Yes,female,39,Bethlehem ,university,Married,friends/relatives ,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,no,no,Yes,no,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes,Not sure,no,Yes,Yes,Yes,Not sure,Yes
507,Yes,female,27,Bethlehem ,university,single,study,no,Yes,Yes,Yes,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes
508,Yes,female,23,Bethlehem ,university,single,others,no,Yes,Yes,no,Yes,"decreased blood supply to the joint, nerve compression near the joint ",Yes,Yes,Yes,no,Yes,Not sure,no,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
509,Yes,female,32,Bethlehem ,university,Married,Personal history,no,Not sure,Not sure,no,no,crystal accumulation in the joint,no,no,Yes,no,Yes,Yes,no,no,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
510,Yes,female,29,Bethlehem ,university,Married,media,no,Not sure,Not sure,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,no,Yes,Not sure,Not sure,Yes,Yes,Yes,no,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Yes
511,Yes,female,23,Bethlehem ,university,Married,Personal history,no,Not sure,Yes,no,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Not sure,no,Not sure,Not sure,no,no,Yes,no,no,no,Yes,Not sure,no,Yes,Not sure,no,Yes,Yes,no
512,Yes,female,23,Bethlehem ,university,Married,"Personal history, friends/relatives , study",Yes,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,no,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes,Not sure,no,no,Yes,Yes,Not sure,Not sure
513,Yes,female,46,Jenin ,university,Married,"Personal history, friends/relatives ",Yes,Yes,no,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,Not sure,Not sure,Not sure,no,Not sure,Not sure,Not sure,no,Yes,Not sure,Not sure,no,Yes,Not sure,Yes,Not sure,Not sure
514,Yes,female,46,Jenin ,university,Married,"Personal history, friends/relatives , media, healthcare",Yes,Yes,no,no,no,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
515,Yes,female,36,Jenin ,university,Married,"friends/relatives , media",no,Yes,no,Not sure,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,Not sure,Not sure,no,Not sure,Not sure,Not sure,no,Yes
516,Yes,male,56,Jenin ,university,Married,"Personal history, friends/relatives ",Yes,Yes,no,Yes,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
517,Yes,female,20,Jenin ,university,single,"media, healthcare",no,Not sure,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Not sure,Not sure,no,no,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes
518,Yes,female,46,Jenin ,university,Married,"Personal history, friends/relatives ",Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
519,Yes,female,20,Jenin ,university,single,friends/relatives ,Yes,Yes,no,Yes,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Not sure,no,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,no,Yes,Not sure,Yes,Yes,Yes,Not sure
520,Yes,female,25,Jenin ,university,single,friends/relatives ,no,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,no,no,Yes,Yes,Not sure,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes
521,Yes,female,20,Jenin ,high school,single,study,no,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Yes,Not sure,Not sure,Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure
